"Nome do Arquivo";"Data";"Tema de Discussão"; "Contagem de Palavras"; "Fala"
1950-5-14-Churchill-House of Commons Hansard-MR. STANLEY LEIGHTOIN  (Shropshire, Oswestry).txt;1950-5-14;                Commonwealth Of Australia Constitution Bill;817;said the hon. Member who had just sat down appeared to be advocating the policy of waiting to see how the cat jumped. He said, "Wait until Monday and then you will see," but that was not quite the way in which to approach this question. The view of the right hon. Gentleman below the gangway who represented the Forest of Dean was also a very narrow one, consisting as it did of the argument that not a single word of the Bill ought to be altered. If  no word of the Bill was to be altered, why waste words discussing it? It seemed to him that it would be a most uncomplimentary thing to the Australian people if the Bill was passed without discussion, and discussion meant possible amendment. From the statesmanlike speech of the Colonial Secretary, it must have been patent to the House that there was no idea of forcing anything on colonies. It was an old axiom that it was bad policy to force the best form of law on an unwilling people, and it was gratifying to know that as at present constituted the Privy Council was not to be forced down the throats of the Australian people. The principle of appeal was not objected to, but what was objected to was the appeal to this particular Court in its present form. The hon. Member for York had made some observations with regard to the judicial proceedings of the Privy Council; but, with the exception of some gentlemen of the long robe, very few people knew what the Judicial Committee of the Privy Council was, of whom it was composed, what it did, and where it held its court. He [Mr. Stanley Leighton] had determined ten years ago to make a search and make quite sure that it not only had a name but a local habitation, and he inquired of all his friends "Where is the Privy Council?" and no one knew. He asked judges and the like and was referred to "Whitaker" and a little book entitled, " Things Not Generally Known," from neither of which could he extract the desired information. He then conceived the idea of starting at the top of Parliament Street and knocking at every door and inquiring if the Privy Council was at home, and in the course of his peregrinations he came to a door at which a policeman was standing, who, in answer to his inquiries, directed him up a small back staircase, and upon entering a small room on the second floor he found himself in the presence of the august assembly. There was no accommodation for strangers. It was not surprising that in such a position of obscurity this august Council was hardly appreciated, or even known; but who was to blame? First of all, the lawyers. When they built their palace of justice, why did not they find a home for the great Court of the Empire, a Court which throws all others into insignificance, a Court with the farthest-reaching jurisdiction in the whole world, farther-reach-  ing than that of the Roman Curia, and deciding the rights of millions of people and questions on the most varied law? Why was such a Court relegated to an upper chamber difficult of access? In the reign of William IV. an Act was passed for the reform of this Court, and it was provided that certain colonial as well as Indian judges should sit upon the Bench. But no colonial judge was appointed till five years ago. Ten years ago he himself pressed the necessity for further reform, with all the power a private Member possessed, upon the Government of Lord Salisbury, and he was told the matter should receive consideration; but that Government went out of power, and no consideration was given to the matter. Five years later he pressed the same consideration on the Government of Lord Rosebery, and no doubt, so far as the Colonial Office was concerned, would have received the same attention as before; but fortunately the matter was taken up by Lord Rosebery personally, who brought in a Bill limited in extent, but adding three judges from the colonies to the Judicial Committee. He agreed with the hon. Member for Haddington that if this matter had been dealt with five, or even two years previously, Clause 74 would not have appeared in this Bill. The people of Australia were to be congratulated upon having brought this matter to the attention of the Government. The Government would have allowed the matter to drag on till the Day of Judgment had not pressure been put upon them, but now there was some hope that a new, permanent, and effective colonial representation would be placed upon the Privy Council, and that we should really have a Court of Appeal for the whole Empire. For this we thank the Australian people.
1950-5-14-Churchill-House of Commons Hansard-MR. GIBSON BOWLES  (Lynn Regis).txt;1950-5-14;                New South Wales Death Duties;137;On behalf of the hon. Member for Suffolk, Lowestoft Division, I beg to ask the  Secretary of State for the Colonies whether, seeing that the Companies Death Duties Act of 1899 (New South Wales) affects the interests of British companies carrying on the business of mining, pastoral, or agricultural products or timber getting, in the colony of New South Wales, and particularly as on the death of any shareholder wherever resident or domiciled an ad valorem duty varying from 2 per cent. to 10 per cent. is leviable by the New South Wales Government, not upon the estate of the deceased shareholder but upon the property of the company, he proposes, on the part of Her Majesty's Government, to make any representations to the New South Wales Government with a view to the repeal of the Act.
1950-5-14-Churchill-House of Commons Hansard-Mr. J. CHAMBERLAIN.txt;1950-5-14;                New South Wales Death Duties;39;I am informed that representations on the subject of this legislation are being made by those interested through the Agent General for New South Wales, and I have no doubt they will be carefully considered by the Colonial Government.
1950-5-14-Churchill-House of Commons Hansard-MR. GIBSON BOWLES.txt;1950-5-14;                Payments To Crown Agents;167;I beg to ask the Secretary of State for the Colonies is he aware that the reserve fund accumulated by the Crown Agents for the Colonies amounted on 31st March, 1899 to £33,307 2s. 5d.; can he state what the amount of this reserve fund was on 31st March, 1900; are payments amounting to some £3,000 a year made out of this fund in respect of life insurance policies for the advantage of the officials employed in the Crown Agents' offices; and if so, is any such payment made in respect of the Crown Agents themselves; and seeing that in 1870 Her Majesty's Government decided that the accounts of the Crown Agents should cease to be audited by the Comptroller and Auditor General excepting in the case of colonies receiving grants in aid of their local revenues, can he state whether these accounts are still excluded from audit by the Comptroller and Auditor General, and if not, what change in that respect has been made since 1870.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Payments To Crown Agents;142;The figures quoted by the hon. Member give not the amount of the reserve fund on 31st March, 1899, but the uninvested cash balance then standing to its credit. The  amount of the fund at 31st March, 1900, taking into account both the nominal value of the investment and the credit balance, was £341,527. Payments amounting to £3,179 were made out of this fund in 1899 on account of life insurance for the benefit of the officials in the Crown Agents' office—about thirty in number —including the Crown Agents. Of this amount £740 was paid by the individuals themselves. The accounts of of the Crown Agents always have been, and still are, audited by the Comptroller and Auditor General. What was discontinued in 1870 was the audit in this country of the separate accounts as between the Crown Agents and certain colonies.
1952-11-13-Churchill-House of Commons Hansard-The VICE-CHAMBERLAIN Of the HOUSEHOLD (Mr. HENRY STUDHOLME).txt;1952-11-13;                Queen's Speech (Answer To Address);9;reported Her Majesty's Answer to the Address, as follows:
1950-5-14-Churchill-House of Commons Hansard-MR. DILLON  (Mayo, E.).txt;1950-5-14;                Nigeria—Recent Fighting;65;I beg to ask the Secretary of State for the Colonies when Papers will be circulated giving official account of the recent fighting in Nigeria; and whether such Papers will contain an estimate of the natives killed and wounded and villages burned, and a statement of the objects of the various military expeditions, and the causes to which the resistance of the natives is attributed.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Nigeria—Recent Fighting;47;I have not received the official report of the recent fighting in Northern Nigeria, but I have no doubt that it will contain information on the points referred to, and I do not anticipate that there will be any objection to giving such information to the House.
1950-5-14-Churchill-House of Commons Hansard-MR. HOGAN  (Tipperary, Mid).txt;1950-5-14;                South Africa-Australia Cable;75;I beg to ask the Secretary of State for the Colonies whether the difficulties that arose in connection with the proposal of the Eastern Extension Company to lay a cable from South Africa to Australia have now been adjusted; and whether the opposition of the Imperial and Colonial Governments concerned in the construction of the Pacific cable has been withdrawn; and, if so, what is the nature of the compromise that has been arrived at.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                South Africa-Australia Cable;12;I have no information that any final arrangement has yet been reached.
1950-5-14-Churchill-House of Commons Hansard-MR. M'GHEE  (Louth, S.).txt;1950-5-14;                West Australian Miners' Grievances;89;I beg to ask the Secretary of State for the Colonies whether his attention has been directed to the manifesto of the mining immigrants of West Australia invoking the aid of their fellow citizens of the British Empire against the treatment to which they are subjected by the old agricultural population of the country—namely, taxation without representation, the enforcement of railway traffic by special lines at rates specially imposed, in differential tariffs to Perth and Fremantle; and what steps, if any, the Government propose to take in the matter.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                West Australian Miners' Grievances;92;My attention has been called to the manifesto to which the hon. Member refers, and I have also received the comments on it of the Prime Minister for Western Australia. These comments will, I understand, be made public shortly, and when they are available it will be seen that almost all the statements are directly challenged. In these circumstances, and as there is now a prospect that Western Australia may decide to become a part of the Commonwealth, the time has not arrived for coming to a final decision on this matter.
1950-5-14-Churchill-House of Commons Hansard-MR. HEDDEEWICK  (Wick Burghs).txt;1950-5-14;                Ashanti-Arms In Possession Of The Natives;65;I beg to ask the Secretary of State for Colonies whether his attention has been called to the report that the natives of Ashanti who have risen against us have been found to be armed with modern weapons of precision; and whether, if this report be well founded, he will cause inquiries to be made into the sources from which these weapons have been supplied.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Ashanti-Arms In Possession Of The Natives;60;The Governor reported OIL the 30th of April that in the fighting near Coomassie several Ashantis had arms of precision. I have no reason to believe that any large number of Ashantis are armed with "modern weapons of precision" or even "arms of precision," which term is generally used in West Africa to include all arms except flint-lock unrifled muskets.
1950-5-14-Churchill-House of Commons Hansard-MR. HOLLAND  (Yorkshire, W. R., Rotherham).txt;1950-5-14;                Tarquah-Coomassie Railway;44;I beg to ask the Secretary of State for the Colonies whether the arrangements entered into with the Ashanti Goldfields and Ashanti Consols, in connection with the extension of the Tarquah Railway, preclude the construction of any other line from the coast to Coomassie.
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Tarquah-Coomassie Railway;22;No; but it is not probable that any line would be sanctioned which would compete with the traffic of the Tarquah-Coomassie Railway.
1950-5-14-Churchill-House of Commons Hansard-MR. BUCHANAN  (Aberdeenshire, E.).txt;1950-5-14;                Tarquah-Coomassie Railway;10;Will the agreement be laid on the Table and circulated?
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Tarquah-Coomassie Railway;8;I have no objection to that at all.
1950-5-14-Churchill-House of Commons Hansard-MR. BUCHANAN.txt;1950-5-14;                Tarquah-Coomassie Railway;9;Will any public money be spent for guarantee purposes?
1950-5-14-Churchill-House of Commons Hansard-MR. J. CHAMBERLAIN.txt;1950-5-14;                Tarquah-Coomassie Railway;11;The hon. Member had better wait till the Papers are laid.
1951-5-25-Churchill-House of Commons Hansard-The Lord Privy Seal (Mr. Stokes).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;13;I beg to move, "That the Bill be now read a Second time."
1951-5-25-Churchill-House of Commons Hansard-Mr. Harold Macmillan (Bromley).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;6;On the 4 per cent. invested?
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;169;No, I am coming to that. The 4 per cent., to which reference has been made, has nothing to do with that at all. With reference to discrepancies in the bookkeeping, again they may not have been wrong payments, but may have been payments to people but not for the right job. Although the accountants have said that 4 per cent. is not unusually high, it is too high to be proper and they would have preferred it to have been lower. That 4 per cent. was not money necessarily improperly paid out, but the total amount of the discrepancies in the bookkeeping—money which may or may not have been properly paid, and again, that cannot be ascertained until a further full investigation is made. At any rate, I do not propose to pass judgment, because I cannot do so. Festival Gardens, Ltd., can go further if they see fit, and that will have to wait until they have decided on what settlement they will make with the contractor.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister (Rutherglen).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;68;Before my right hon. Friend leaves the question of the original loan, does not he think it a pity that Mr. H. N. Butler, F. C. A., should refer in the first paragraph of his report to the £770,000 as the estimated expenditure, when quite clearly it was the amount of the loan? That statement tends to give a misdirection from the beginning to a very fair-minded report.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;76;I am glad my hon. Friend has drawn my attention to the point. Of course, the £770,000 was not the original estimated cost at all. It was the original estimated liquid capital with which to carry the show through. That is all it was meant to be, having regard to certain  moneys coming into the Company from concessionaires and having regard to the revenue they expected to collect from time to time once the show opened.
1951-5-25-Churchill-House of Commons Hansard-Mr. Edgar Granville (Eye).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;28;Can the right hon. Gentleman give the House a rough estimate of what he thinks it might cost to make these temporary Festival buildings suitable for another year?
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;93;I should be very hesitant about doing that without looking at the estimates myself. It would all depend on whether we went on for one, two or three years. It might very well be that if we carried on for one year we could patch up as we went. As I say, I should be very hesitant to give a figure. If we were to go the full five years, I should think that an extra £150,000 to £200,000 would probably be necessary to ensure the continuation of the buildings as they are.
1951-5-25-Churchill-House of Commons Hansard-Mr. Granville.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;7;Which would be covered by this Bill?
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;152;For the immediate financing, yes, but I have not the slightest doubt whatever—let us be quite clear about this—that this scheme has such tremendous revenue-bearing possibilities that the whole of the loan can be paid off. I would reckon that within four or five years the sums already expended could be written off out of profits or margins on the right side, or whatever one wished to call them, on the operations of the Gardens and fun fair jointly. But it is always a dangerous thing to anticipate that revenue is going to run at a regular level. It is going splendidly at the present time, and, provided the weather holds and the public continue to like it, as they appear to do at the moment, I see no difficulty whatever in  paying off the whole of the loan in four or five years, and, indeed, that is what I am advised.
1951-5-25-Churchill-House of Commons Hansard-Mr. Duncan Sandys (Streatham).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;124;I am sure that we can all share with the right hon. Gentleman the Lord Privy Seal the satisfaction that the fun fair and Pleasure Gardens in Battersea Park are undoubtedly going to give a great deal of enjoyment to many people in London; but that is not really the issue we are debating this afternoon. I noticed that the right hon. Gentleman, following the pattern of the right hon. Gentleman the Minister of Defence, devoted a good deal of his time to matters which were not strictly pertinent to the question under discussion. He also avoided quite a number of issues to which, I think, this House has a right to an answer before being asked to vote further money for this purpose.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;indicated dissent.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;153;Anyway, he is blushing now. We recognise that since his appointment, the right hon. Gentleman has done everything that is humanly possible to clear up the Augean stable which he inherited from his predecessor. We are also indebted to him for the frankness with which he has treated the House, a frankness to which we were not altogether accustomed on this particular question. Perhaps it is easier to be frank about one's predecessor's errors than about one's own. The right hon. Gentleman has done his best today to make such excuses as could be made for his right hon. Friend's earlier  administration. I think he must have felt a little like a barrister who was briefed to defend a company director whose business had gone off the rails and whose only defence was to plead that he had been so neglectful of his duties that he did not know what was going on.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;125;That is not quite right. If I gave the right hon. Gentleman that impression, I was wrong. The Festival Council were appointed in 1948 and it was not necessary to have a Bill to form Festival Gardens, Limited. Had it been thought advisable the fun fair could have been proceeded with under the Festival Office. It was a mere difference of thought. What happened was that the fun fair got left to the end. There were bigger projects involved. If blame is to be laid, it was not my right hon. Friend's fault; it was the fault of the Festival Office for not getting on with the job quicker; but I do not wish to lay that charge at their door. It was their responsibility.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;79;The right hon. Gentleman said a late start was at the root of the trouble. He says the responsibility was not that of the Foreign Secretary, the then Lord President. He says it was the responsibility of the Festival Office. As I understand it, that office is part of the Department of the Lord President and I cannot believe that the Foreign Secretary, if he were here, would wish to shelter behind the Civil Service in his own Department.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;15;It is an all-party Council on which Members of the Front Bench opposite are represented.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;39;The right hon. Gentleman is not correct. The Festival Office to which he referred is a Civil Service department, part of the department of the Lord President. It is quite a different thing from the Council of the Festival.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;indicated assent.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;106;The right hon. Gentleman agrees that is correct. It is perfectly clear that if the start had been made even six month or nine months earlier, the company would have had a much better prospect of getting itself organised and drawing-up its plans so that the job could start in an orderly fashion. As it was, the contractor was obliged to go onto the site and start work with nothing more than preliminary layouts. The plans were fed out to him piecemeal over a long period of months and, as the report says, some of the final plans of the buildings only reached him quite recently.
1951-5-25-Churchill-House of Commons Hansard-Mr. Shurmer  (Birmingham, Sparkbrook).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;That is ridiculous.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;22;The hon. Member says it is ridiculous, but does he not remember that when we had a fuel crisis, we were told—
1951-5-25-Churchill-House of Commons Hansard-Mr. Shurmer.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;10;The right hon. Gentleman is talking about something else now.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;44;We were told that the fuel crisis was due to the exceptionally cold winter. When we had a cement shortage last year the Lord Privy Seal, as the then Minister of Works, said it was due in large measure to an exceptionally warm winter.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;indicated dissent.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;21;Certainly he did. Now we are told that the over-spending in Battersea Park was due to the exceptional amount of rain.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;62;The right hon. Gentleman said the report of the accountants was an objective report and I think that is fair comment. On page 2 of that report he will find that in paragraph (g) of the list of reasons given by the accountants—who were very experienced—they said one of the main reasons was the exceptionally heavy rainfall during the winter of 1950–51.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;78;If the hon. Member had not interrupted me I was about to say that, of course, the rainfall was exceptionally heavy last winter. But it is no good the Government planning on the basis of statistical averages. An average is merely a half-way mark between fluctuating variations in both directions. Like the average family which consists of 4.2 persons, the average winter is something which just does not exist except in the minds of the gentlemen in Whitehall.
1951-5-25-Churchill-House of Commons Hansard-Mr. Porter (Leeds, Central).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;28;Surely the right hon. Gentleman is not suggesting that the board of this company ought to have known all about building before starting the functions of the company?
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;31;I am suggesting that experience of the theatre, circus, journalism and advertising, which are all represented on the board, were not perhaps the most important qualifications needed for this particular job.
1951-5-25-Churchill-House of Commons Hansard-Mr. Porter.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;11;The job of the board was to run the Festival Gardens.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;21;A theatrical producer, in my opinion, does not seem to be the best person to run this particular type of organisation.
1951-5-25-Churchill-House of Commons Hansard-Mr. Popplewell (Vice-Chamberlain of the Household).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;4;What about Lord Aberconway?
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;19;He resigned almost at once. He was brought in in his capacity as President of the Royal Horticultural Society.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;23;I tried to explain that the £770,000 was liquid capital necessary to finance the scheme. The total constructional cost was estimated at £800,000.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;120;The figure of £800,000 is correct, then. I just wanted to have that confirmed. I should like the right hon. Gentleman to tell us the basis for that estimate of £800,000. How were those figures calculated? Will he also tell us how it was that only four month after the Bill had been passed, only four months after the then Lord President had given the House the figure of £800,000, the estimate of expenditure had climbed up from  £800,000 to £1,168,000—in other words, nearly 50 per cent. more than the figure given to this House—before even the contract had been placed, before a single sod had been cut? That requires some explanation, and I hope that we shall have it.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister (Rutherglen).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;98;The House seemed to follow with rapt attention the speech of the right hon. Gentleman the Member for Streatham (Mr. Sandys), although I think we all thought that it was rather a laborious and tedious study, not going very deeply into the matters involved. At any rate, it was a speech characteristic of the party opposite in relation to the Festival of Britain since the Festival was thought of—a veneer of co-operation veiling absolute detestation of the whole scheme because it was not their scheme and because the right  hon. Gentleman's father-in-law was not at 10, Downing Street.
1951-5-25-Churchill-House of Commons Hansard-Mr. Shurmer.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;That is good.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;140;It was a little unfortunate for the Opposition that they chose to put up the right hon. Gentleman to open for them in this debate, because his whole case today has been that the Government started off to do something which is costing a lot more money than the Government expected. That is characteristic, he says, of a Socialist Government. But, at any rate, the Government have produced something. They have produced the Festival Pleasure Gardens. I remember, during the war, when the right hon. Gentleman was at the Ministry of Works, where I spent a little time myself, in a much humbler capacity, the pipe dream that oozed from the lips of the right hon. Gentleman and was blared over the radio—and not only to the listening public here but to the listening public in America—about the Portal house.
1951-5-25-Churchill-House of Commons Hansard-Mr. Mellish  (Bermondsey).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;The great planner.
1951-5-25-Churchill-House of Commons Hansard-Mr. H. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;3;The Coalition Government.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;78;The Portal house was produced by the Coalition Government, certainly, but, very fortunately, no right hon. Gentleman on this side of the House and of this Government had any connection with it. We had the late Lord Portal; we had the right hon. Gentleman the Member for Streatham; we had the right hon. Gentleman the Member for Woodford (Mr. Churchill), who was then Prime Minister; but no Labour Minister was in any way attached to the Portal house.
1951-5-25-Churchill-House of Commons Hansard-Mr. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;5;Who was the Parliamentary Secretary?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;10;The Parliamentary Secretary was, I think, my right hon. Friend—
1951-5-25-Churchill-House of Commons Hansard-Mr. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;2;Hear, hear.
1951-5-25-Churchill-House of Commons Hansard-The Parliamentary Secretary to the Treasury (Mr. William Whiteley).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;1;No.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;29;Yes—a former Member of this House. Anyhow, it is a new  doctrine about Government responsibility to suggest that a Parliamentary Secretary takes full responsibility for what his chief does.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;20;I said that it was no use relying on boards of directors and that one must rely on managing directors.
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;35;I think that is precisely the point my right hon. Friend was making, and in "How to run a bassoon factory" the managing director is the director who actually knows where the works are situated.
1951-5-25-Churchill-House of Commons Hansard-Mr. Sandys.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;37;The hon. Member does not suggest that this is private enterprise. The company was formed by the Government, everything was decided by the Government, and all the shares were held by the Government. Is that private enterprise?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;116;It is not private enterprise, but surely the right hon. Gentleman follows the argument—that hon. Members opposite are continually accusing this Labour Administration of what they decribe as bureaucratic influence. Here was a board appointed and a loan granted. Let us be fair about the loan which was granted. It was approved not only by the Government, but by the House as a whole, and it was left to the board to administer that loan and to get on with the job. It would have been intolerable if the then Lord President of the Council or any other Minister had interfered in the day to day or week to week conduct of the board of management.
1951-5-25-Churchill-House of Commons Hansard-Mr. Orbach (Willesden, East).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;26;Is it not a fact that all the work at the Festival Gardens was, in fact, done by private contractors working under the board of directors?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;65;That, of course, is entirely true, but I would agree with the right hon. Gentleman the Member for Streatham that the contractors are not at fault in this matter. There is no criticism of them in this report, and I myself would have hesitated before accepting a tender of a company which was not one of the great companies in the constructional and engineering field.
1951-5-25-Churchill-House of Commons Hansard-Mr. H. Macmillan.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;22;I am surprised at the hon. Gentleman. Do I understand him now to be in favour of employing one of the monopolists?
1951-5-25-Churchill-House of Commons Hansard-Mr. McAllister.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;39;The contract went out to tender, and the company received a number of replies. They accepted the  lowest tender, which I do not think is always the wise thing to do, but it is the habit in public administration.
1951-5-25-Churchill-House of Commons Hansard-Sir Ralph Glyn (Abingdon).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;109;I am sure the House will be in sympathy with the Lord Privy Seal in having to make the excuses here for so many faults for which he has not the least responsibility. We all have some knowledge of him personally, and some of us directly in his business capacity. I am quite sure that of all the jobs he has ever done he must have hated today's job more than any other.. It is not a matter so much of personality, but trying to deal with the situation as we find it today and to see how the taxpayer is to be saved from very grievous financial loss.
1951-5-25-Churchill-House of Commons Hansard-Commander Noble (Chelsea).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;13;I wonder whether my hon. Friend was there when the fireworks went off?
1951-5-25-Churchill-House of Commons Hansard-Sir R. Glyn.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;91;I understand that so strong were the representations made by my hon. and gallant Friend the Member for Chelsea that the public are only to have fireworks on two days a week instead of four. That will decrease the number of fireworks but may not increase the sleep of my hon. and gallant Friend's constituents and, on the whole, I think they would rather have had the fireworks. It is a matter which the weather will decide rather than a Member of Parliament. After all, damp fireworks are not much good.
1951-5-25-Churchill-House of Commons Hansard-Mr. Stokes.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;18;Does the hon. Gentleman really mean a £2½ million loss? Is he not ignoring revenue of £1½ million?
1951-5-25-Churchill-House of Commons Hansard-Sir R. Glyn.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;110;I know about that, but I call it a loss of £2½ million because I have every reason to believe that there will be charges in connection with London Passenger Transport and other matters to  be borne by the taxpayer which ought properly to be among the costs of the exhibition. I only hope that I shall be proved wrong and that the loss will not be £2½million. It certainly will not be so much if we keep Festival Gardens open long enough to make them pay, as well as to pay for some of the money lost on the South Bank. Festival Gardens will be a real money spinner.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell (Leeds, West).txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;32;The hon. Member has referred to a well known Communist whom he links with the Amalgamated Engineering Union. I take it that he is not making an allegation against the union itself?
1951-5-25-Churchill-House of Commons Hansard-Sir R. Glyn.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;60;Certainly not. I am certainly not against the union, but I say that the properly elected representatives in some of these unions are not getting the support they should get from the bulk of the membership. They allow a very small minority of agitators to do a great deal of harm which brings contempt upon the union as a whole.
1951-5-25-Churchill-House of Commons Hansard-Mr. Pannell.txt;1951-5-25;                Festival Of Britain (Additional Loans) Bill;58;I did not think the hon. Gentleman would do so. I am one of the Parliamentary representatives of the Amalgamated Engineering Union. I should like the hon. Gentleman to know that the union is not Communist-controlled, because of a long process of hard work and disenchantment that was carried out. They are solidly behind the Labour Government today.
